user_id,age_group,location,device_type,subscription_type,days_since_registration,total_purchases,avg_order_value,last_purchase_days,sessions_last_30_days,time_on_site_minutes,pages_per_session,cart_abandonment_rate,purchase_frequency,dar_promocion
USER-000040,18-25,Cordoba,Desktop,Free,342,26,444.21,147.0,6,86.5,8.3,0.32,2.28,1
USER-000041,36-45,Buenos Aires,Desktop,Premium,290,6,391.43,56.0,5,96.7,14.2,0.372,0.62,0
USER-000042,18-25,La Plata,Mobile,Premium,80,42,270.25,143.0,19,38.8,15.3,0.354,15.75,0
USER-000043,,Otros,Mobile,Free,107,30,230.53,,26,76.9,,0.417,8.41,0
USER-000044,18-25,Cordoba,Desktop,Free,45,21,166.66,138.0,2,17.5,5.4,,14.0,1
USER-000045,18-25,Cordoba,Mobile,Basic,4,3,,107.0,12,108.7,12.1,0.556,3.0,0
USER-000046,26-35,Buenos Aires,Mobile,Premium,71,26,273.73,139.0,25,72.8,5.2,0.176,10.99,1
USER-000047,26-35,Cordoba,Desktop,Premium,142,46,90.87,119.0,29,16.2,12.8,0.022,,0
USER-000048,36-45,,Mobile,Basic,164,29,99.05,66.0,12,40.0,9.6,0.27,5.3,0
USER-000049,26-35,Otros,Mobile,Premium,171,30,19.5,138.0,1,120.0,7.6,0.52,5.26,0
USER-000050,18-25,Buenos Aires,Mobile,Premium,32,39,84.67,32.0,15,80.7,11.7,0.174,36.56,0
USER-000051,26-35,Cordoba,Desktop,Enterprise,7,45,66.12,41.0,30,38.0,12.0,0.743,45.0,1
USER-000052,36-45,Otros,Mobile,Premium,71,4,300.13,160.0,7,13.1,15.7,0.68,1.69,0
USER-000053,46-55,Mendoza,Mobile,Free,58,34,219.91,94.0,2,61.2,,0.68,17.59,1
USER-000054,18-25,Otros,Desktop,Premium,115,45,,45.0,23,63.1,13.4,,11.74,1
USER-000055,36-45,Cordoba,Desktop,Basic,90,20,427.34,22.0,8,105.9,5.6,0.372,6.67,0
USER-000056,36-45,Buenos Aires,Mobile,Free,53,31,113.94,66.0,10,34.3,12.3,0.704,17.55,0
USER-000057,18-25,Otros,Mobile,Premium,81,31,282.04,61.0,22,57.7,14.5,,11.48,0
USER-000058,18-25,Buenos Aires,Desktop,Free,357,37,190.82,141.0,16,41.9,19.9,0.44,3.11,0
USER-000059,,Buenos Aires,Mobile,Free,185,12,164.62,137.0,30,91.7,4.5,0.173,1.95,0
USER-000060,26-35,Rosario,Desktop,Basic,118,6,417.99,75.0,7,43.9,6.7,0.566,,1
USER-000061,26-35,Otros,Mobile,Basic,301,8,322.56,125.0,3,104.9,,0.376,0.8,1
USER-000062,26-35,Otros,Mobile,Premium,140,7,412.84,102.0,15,9.8,13.0,0.043,1.5,0
USER-000063,46-55,Otros,Mobile,Free,289,35,,155.0,19,95.1,5.3,0.418,3.63,0
USER-000064,46-55,Buenos Aires,Mobile,Basic,135,36,314.3,,30,89.1,19.0,0.166,8.0,0
USER-000065,26-35,Buenos Aires,Mobile,Basic,257,10,11.31,115.0,22,71.7,6.5,,1.17,0
USER-000066,26-35,La Plata,Mobile,Free,4,16,396.04,160.0,18,79.7,18.7,0.34,16.0,1
USER-000067,18-25,Buenos Aires,Mobile,Free,87,3,91.3,78.0,19,90.1,11.8,0.231,1.03,0
USER-000068,26-35,Buenos Aires,Mobile,Free,302,34,251.96,20.0,19,5.7,9.2,,3.38,0
USER-000069,18-25,Buenos Aires,Desktop,Premium,237,37,475.89,172.0,26,33.1,,,4.68,0
USER-000070,26-35,Cordoba,Mobile,Enterprise,125,27,321.04,125.0,2,,8.8,,6.48,1
USER-000071,46-55,Buenos Aires,Desktop,Free,312,25,408.65,140.0,1,55.1,7.0,0.259,2.4,0
USER-000072,46-55,La Plata,Mobile,Premium,159,29,212.49,,16,44.1,15.4,0.5,5.47,0
USER-000073,,Cordoba,Tablet,Basic,339,44,247.51,7.0,20,73.5,5.5,0.127,3.89,0
USER-000074,18-25,Cordoba,Mobile,Premium,83,7,236.11,,20,100.0,10.5,0.573,,1
USER-000075,36-45,Cordoba,Mobile,Basic,105,29,280.12,98.0,6,110.7,10.7,0.703,8.29,0
USER-000076,26-35,Mendoza,Mobile,Premium,330,32,140.91,0.0,9,87.4,,,2.91,0
USER-000077,26-35,Buenos Aires,Mobile,Free,28,35,383.81,,14,112.0,17.5,0.785,35.0,1
USER-000078,36-45,Buenos Aires,Desktop,Free,243,47,241.76,97.0,12,118.6,16.1,0.522,,1
USER-000079,26-35,Buenos Aires,Mobile,Basic,288,6,438.35,112.0,3,63.6,9.7,0.578,0.62,1
USER-000080,46-55,Otros,Mobile,Premium,156,16,175.9,177.0,12,78.3,17.2,0.682,3.08,0
USER-000081,26-35,Buenos Aires,Desktop,Premium,92,34,27.59,17.0,7,76.1,18.5,,11.09,1
USER-000082,26-35,Buenos Aires,Desktop,Premium,319,28,91.52,76.0,28,4.4,7.2,0.045,2.63,1
USER-000083,26-35,Buenos Aires,Mobile,Basic,182,50,98.23,44.0,2,73.5,8.3,0.547,8.24,1
USER-000084,46-55,Buenos Aires,Mobile,Free,111,16,336.75,,28,35.2,11.4,0.059,4.32,1
USER-000085,55+,Buenos Aires,Tablet,Basic,189,29,424.2,50.0,12,,3.0,0.305,4.6,0
USER-000086,36-45,Otros,Mobile,Enterprise,182,42,203.94,2.0,18,103.9,15.8,0.779,6.92,1
USER-000087,36-45,La Plata,Tablet,Premium,55,14,307.46,90.0,7,76.8,,,7.64,1
USER-000088,36-45,Buenos Aires,Mobile,Basic,28,2,,112.0,1,70.0,14.9,,2.0,0
USER-000089,26-35,Cordoba,Mobile,Premium,214,23,270.12,69.0,26,20.6,18.4,0.755,3.22,1
USER-000090,36-45,Buenos Aires,Mobile,Enterprise,214,9,379.53,57.0,27,81.5,13.8,0.318,1.26,0
USER-000091,26-35,Mendoza,Mobile,Basic,80,29,190.61,172.0,8,70.6,16.6,0.752,,1
USER-000092,36-45,Cordoba,Desktop,Premium,310,20,458.48,56.0,20,8.5,16.7,0.728,1.94,0
USER-000093,36-45,Buenos Aires,Mobile,Free,211,31,66.9,60.0,28,65.0,8.4,0.297,4.41,0
USER-000094,46-55,Cordoba,Desktop,Free,9,26,330.91,125.0,19,49.6,19.1,0.026,26.0,0
USER-000095,18-25,Cordoba,Mobile,Free,176,43,,165.0,11,,6.2,0.775,7.33,0
USER-000096,18-25,Buenos Aires,Desktop,Enterprise,133,3,395.53,62.0,4,94.7,,0.664,0.68,1
USER-000097,18-25,Buenos Aires,Desktop,Free,82,9,396.44,,0,34.0,19.7,,3.29,0
USER-000098,26-35,Buenos Aires,Desktop,Free,89,0,,999.0,25,29.3,7.2,0.139,0.0,1
USER-000099,,Cordoba,Mobile,Free,339,28,391.23,,18,14.0,10.6,,,0
USER-000100,36-45,Otros,Desktop,Free,343,41,482.37,15.0,15,,9.1,0.086,3.59,0
USER-000101,,Buenos Aires,Mobile,Basic,1,4,71.83,159.0,20,70.7,14.5,,4.0,0
USER-000102,26-35,Cordoba,Desktop,Free,60,44,66.06,167.0,20,105.4,11.5,,22.0,0
USER-000103,26-35,Buenos Aires,Mobile,Basic,145,26,367.51,80.0,13,38.2,5.8,0.763,5.38,0
USER-000104,46-55,Buenos Aires,Desktop,Free,14,6,374.85,,25,16.5,2.1,0.765,6.0,0
USER-000105,26-35,Buenos Aires,Mobile,Basic,78,48,217.24,13.0,30,35.2,,0.083,18.46,1
USER-000106,18-25,Rosario,Mobile,Free,106,35,190.1,71.0,18,,9.2,0.449,9.91,0
USER-000107,36-45,Rosario,Mobile,Premium,47,44,141.05,46.0,8,84.6,6.9,0.272,28.09,0
USER-000108,18-25,Buenos Aires,Desktop,Free,362,47,320.25,7.0,2,89.8,,0.336,3.9,0
USER-000109,18-25,Buenos Aires,Mobile,Premium,191,38,51.63,13.0,4,19.7,12.7,0.539,5.97,1
USER-000110,26-35,Cordoba,Desktop,Basic,226,13,379.92,29.0,11,52.2,6.4,0.543,1.73,0
USER-000111,26-35,Buenos Aires,Mobile,Enterprise,116,3,13.77,,30,26.1,3.6,0.204,0.78,0
USER-000112,18-25,Cordoba,Mobile,Free,198,34,354.8,128.0,17,100.2,,0.058,5.15,1
USER-000113,26-35,Cordoba,Mobile,Free,344,27,290.97,163.0,13,35.5,8.7,0.773,2.35,1
USER-000114,46-55,Rosario,Desktop,Premium,278,5,223.99,27.0,7,52.8,8.6,0.063,0.54,1
USER-000115,36-45,Buenos Aires,Desktop,Free,207,40,65.87,130.0,6,,7.6,0.582,,1
USER-000116,46-55,Buenos Aires,Mobile,Free,35,38,84.91,167.0,2,22.1,15.7,0.395,32.57,0
USER-000117,36-45,Cordoba,Tablet,Basic,77,40,493.4,82.0,27,,,0.352,15.58,1
USER-000118,26-35,Buenos Aires,Mobile,Free,125,32,46.35,118.0,14,5.5,8.0,0.23,7.68,1
USER-000119,46-55,La Plata,Desktop,Basic,35,29,,10.0,14,109.2,11.9,0.151,24.86,1
USER-000120,26-35,Buenos Aires,Mobile,Free,56,21,491.37,21.0,16,,1.7,0.566,11.25,0
USER-000121,26-35,,Mobile,Premium,141,24,210.3,86.0,21,72.1,,0.518,,0
USER-000122,26-35,Rosario,Mobile,Free,332,42,482.56,,27,18.9,2.5,0.531,3.8,1
USER-000123,26-35,Rosario,Desktop,Free,186,45,469.62,79.0,17,45.8,,0.651,7.26,0
USER-000124,36-45,Otros,Tablet,Premium,22,5,326.55,108.0,16,44.1,7.9,0.144,5.0,1
USER-000125,26-35,Mendoza,Mobile,Enterprise,256,9,47.81,25.0,16,92.7,16.9,0.707,1.05,0
USER-000126,36-45,La Plata,Desktop,Basic,346,9,89.5,177.0,24,75.3,18.2,0.577,,0
USER-000127,26-35,Rosario,Mobile,Basic,343,18,378.67,114.0,7,64.5,6.9,0.647,1.57,1
USER-000128,46-55,Buenos Aires,Desktop,Basic,125,28,236.22,72.0,24,,11.0,0.773,6.72,0
USER-000129,,Buenos Aires,Mobile,Basic,263,23,281.72,26.0,22,101.7,17.2,0.228,2.62,0
USER-000130,26-35,Otros,Mobile,Basic,283,14,410.18,89.0,29,4.2,2.0,0.402,1.48,0
USER-000131,26-35,Buenos Aires,Mobile,Free,245,6,421.2,166.0,10,95.2,3.6,0.23,0.73,0
USER-000132,36-45,Buenos Aires,Desktop,Basic,124,0,453.87,,0,31.5,16.9,0.439,0.0,0
USER-000133,26-35,Buenos Aires,Mobile,Free,54,3,126.84,163.0,25,75.1,2.2,0.669,1.67,0
USER-000134,36-45,Buenos Aires,Mobile,Free,110,9,152.72,0.0,19,43.0,11.8,0.15,2.45,0
USER-000135,18-25,Otros,Mobile,Basic,23,32,395.34,,17,3.4,17.6,,32.0,0
USER-000136,55+,,Mobile,Premium,167,22,128.15,168.0,20,13.3,,0.605,3.95,0
USER-000137,18-25,Cordoba,Desktop,Free,297,49,345.49,178.0,15,76.2,16.4,0.05,4.95,1
USER-000138,18-25,Buenos Aires,Desktop,Premium,131,20,467.35,131.0,12,118.7,11.3,0.203,4.58,0
USER-000139,18-25,Cordoba,Desktop,Premium,34,21,,94.0,13,106.8,15.1,0.716,18.53,1
USER-000140,26-35,Buenos Aires,Desktop,Free,168,33,140.69,21.0,23,,9.2,0.796,,1
USER-000141,26-35,Buenos Aires,Mobile,Basic,273,19,228.5,109.0,5,83.1,7.7,,2.09,0
USER-000142,36-45,Cordoba,Desktop,Premium,185,3,46.77,163.0,12,44.2,16.2,0.544,0.49,1
USER-000143,18-25,Rosario,Desktop,Free,350,4,125.64,165.0,11,44.1,19.0,0.026,0.34,0
USER-000144,36-45,Otros,Mobile,Premium,287,36,,93.0,12,38.4,6.3,0.768,3.76,0
USER-000145,36-45,Cordoba,Mobile,Basic,352,16,389.73,180.0,14,,12.6,,,1
USER-000146,,Buenos Aires,Mobile,Free,114,45,228.1,22.0,25,82.1,17.1,0.256,11.84,0
USER-000147,36-45,Cordoba,Mobile,Free,188,10,358.79,179.0,20,21.7,7.9,0.179,,0
USER-000148,36-45,Buenos Aires,Mobile,Free,263,36,190.77,141.0,4,73.8,2.6,0.247,4.11,1
USER-000149,26-35,Mendoza,Desktop,Free,120,20,324.75,115.0,14,81.9,7.5,0.702,5.0,1
USER-000150,36-45,Buenos Aires,Tablet,Basic,83,3,417.38,,4,37.2,4.1,0.748,,0
USER-000151,26-35,Otros,Desktop,Premium,250,16,106.19,,8,15.9,6.8,0.427,1.92,0
USER-000152,36-45,Rosario,Mobile,Free,108,39,,154.0,10,101.3,11.7,0.66,10.83,0
USER-000153,18-25,Otros,Desktop,Free,351,13,385.81,106.0,19,77.0,10.5,0.502,1.11,1
USER-000154,36-45,Buenos Aires,Mobile,Premium,217,25,155.74,18.0,22,8.1,9.4,0.387,3.46,1
USER-000155,26-35,Buenos Aires,Desktop,Free,261,22,487.93,,24,45.1,11.7,0.255,2.53,1
USER-000156,18-25,Cordoba,Mobile,Free,127,24,433.44,107.0,7,115.6,18.1,0.651,5.67,0
USER-000157,36-45,Buenos Aires,Mobile,Enterprise,70,29,254.39,,15,3.8,19.0,0.404,12.43,1
USER-000158,18-25,Cordoba,Mobile,Basic,242,41,339.54,73.0,17,2.0,3.0,0.107,5.08,1
USER-000159,36-45,Mendoza,Mobile,Basic,230,36,285.29,92.0,17,35.3,8.3,0.36,4.7,1
USER-000160,26-35,Otros,Desktop,Free,84,6,203.01,,17,112.7,,0.159,2.14,0
USER-000161,26-35,Buenos Aires,Mobile,,105,30,264.47,38.0,19,107.3,3.7,0.745,8.57,0
USER-000162,18-25,Otros,Desktop,Free,202,21,258.58,130.0,17,,11.7,0.38,,0
USER-000163,26-35,Rosario,Tablet,Basic,357,50,450.4,176.0,20,4.2,,0.774,4.2,1
USER-000164,36-45,Mendoza,Mobile,Free,69,40,363.38,97.0,4,98.8,5.6,0.458,17.39,1
USER-000165,18-25,Buenos Aires,Mobile,Free,7,44,109.91,128.0,24,73.8,10.0,0.679,44.0,1
USER-000166,36-45,Cordoba,Mobile,Enterprise,334,30,267.48,80.0,30,21.6,18.3,0.274,2.69,0
USER-000167,36-45,La Plata,Desktop,Premium,184,16,308.94,49.0,30,30.3,11.6,0.18,2.61,0
USER-000168,36-45,Mendoza,Desktop,Basic,213,30,180.91,70.0,9,,,0.304,4.23,0
USER-000169,,Otros,Desktop,Free,163,18,478.1,20.0,11,111.0,13.5,0.598,,1
USER-000170,18-25,Cordoba,Tablet,Basic,256,8,,150.0,7,29.9,13.7,,0.94,0
USER-000171,18-25,Buenos Aires,Mobile,Basic,39,43,,1.0,30,66.5,18.7,0.326,33.08,0
USER-000172,,Buenos Aires,Tablet,Free,122,41,38.99,22.0,20,69.3,11.2,0.578,10.08,0
USER-000173,46-55,Buenos Aires,Desktop,Free,346,2,498.61,,25,60.0,18.8,0.77,0.17,0
USER-000174,46-55,Buenos Aires,Mobile,Free,217,21,149.44,164.0,17,63.4,17.9,,2.9,0
USER-000175,26-35,Buenos Aires,Mobile,Free,107,29,327.66,47.0,0,88.7,16.0,0.454,8.13,1
USER-000176,18-25,La Plata,Desktop,Premium,267,32,170.68,102.0,21,12.4,19.7,0.382,3.6,1
USER-000177,18-25,Cordoba,Mobile,Free,238,21,157.95,146.0,0,32.1,7.8,,2.65,1
USER-000178,18-25,Buenos Aires,Mobile,Basic,24,45,387.22,176.0,3,77.0,18.9,0.294,,1
USER-000179,18-25,Buenos Aires,Mobile,Premium,252,38,193.08,179.0,17,109.6,15.4,0.642,4.52,0
USER-000180,36-45,Rosario,Mobile,Premium,254,33,228.91,180.0,11,10.3,11.7,0.049,3.9,0
USER-000181,46-55,Buenos Aires,Mobile,Free,85,33,226.5,174.0,6,86.3,10.3,0.719,11.65,0
USER-000182,46-55,Cordoba,Mobile,Basic,137,3,283.81,172.0,25,37.7,,0.204,0.66,0
USER-000183,36-45,Rosario,Mobile,Free,364,4,,15.0,29,,19.7,0.378,,1
USER-000184,26-35,Mendoza,Desktop,Enterprise,219,41,482.25,,28,46.5,17.5,0.725,5.62,0
USER-000185,18-25,Otros,Desktop,Free,173,22,68.13,,12,63.9,14.8,,,1
USER-000186,36-45,Otros,Mobile,Premium,364,27,270.65,58.0,7,55.8,3.9,,2.23,1
USER-000187,18-25,Rosario,Desktop,Premium,308,1,127.93,17.0,3,71.7,9.5,0.538,0.1,1
USER-000188,18-25,Buenos Aires,Mobile,Basic,341,48,433.23,14.0,4,,6.5,0.653,4.22,0
USER-000189,26-35,Rosario,Desktop,Free,71,19,439.37,169.0,16,27.3,6.7,0.049,8.03,1
USER-000190,46-55,Otros,Desktop,Basic,63,31,32.97,88.0,30,77.6,8.2,0.42,14.76,1
USER-000191,26-35,Buenos Aires,Mobile,Premium,9,30,128.07,57.0,9,103.0,3.7,,30.0,1
USER-000192,36-45,Otros,Mobile,Free,336,15,134.95,84.0,20,10.4,9.5,0.297,1.34,1
USER-000193,36-45,,Mobile,Basic,91,38,29.38,18.0,6,96.8,12.2,0.537,,0
USER-000194,26-35,La Plata,Mobile,Enterprise,254,0,113.79,999.0,6,115.5,3.2,0.8,0.0,1
USER-000195,46-55,Rosario,Desktop,Free,120,15,280.52,72.0,12,56.5,13.3,0.247,3.75,1
USER-000196,26-35,Cordoba,Mobile,Enterprise,181,30,383.2,,29,25.2,6.9,0.037,4.97,1
USER-000197,36-45,Buenos Aires,Mobile,Basic,252,46,214.61,,6,40.3,8.2,0.667,5.48,1
USER-000198,36-45,Otros,Mobile,Premium,110,31,483.59,164.0,23,59.4,,0.636,8.45,1
USER-000199,18-25,Cordoba,Mobile,Premium,279,41,479.05,134.0,1,100.8,2.4,,,1
USER-000200,36-45,Cordoba,Desktop,Free,341,45,84.0,55.0,16,55.3,2.1,0.51,3.96,0
USER-000201,46-55,Rosario,Mobile,Basic,50,26,15.81,,23,33.7,,0.014,15.6,0
USER-000202,36-45,La Plata,Tablet,Free,8,6,266.95,61.0,6,74.8,5.8,,6.0,1
USER-000203,18-25,Otros,Mobile,Free,162,44,120.67,,26,101.9,13.4,0.687,8.15,1
USER-000204,18-25,Cordoba,Mobile,Free,349,0,354.39,999.0,2,60.5,9.2,0.628,0.0,1
USER-000205,55+,Otros,Desktop,Premium,76,14,113.59,177.0,28,68.4,6.2,0.739,5.53,0
USER-000206,,La Plata,Mobile,Free,15,20,,,18,18.2,16.6,0.657,20.0,1
USER-000207,26-35,Rosario,Mobile,Premium,326,43,449.3,84.0,12,90.9,3.7,0.791,,1
USER-000208,26-35,Otros,Mobile,Basic,325,4,176.89,157.0,30,,19.4,0.261,0.37,0
USER-000209,,,Mobile,Free,41,24,221.61,174.0,18,79.6,2.6,0.495,17.56,1
USER-000210,36-45,Buenos Aires,Mobile,Premium,239,40,85.6,99.0,10,43.9,2.7,0.754,5.02,1
USER-000211,26-35,Buenos Aires,Mobile,Free,138,28,282.92,131.0,13,13.3,,0.443,6.09,1
USER-000212,36-45,Buenos Aires,Mobile,Free,60,24,391.79,,28,119.1,5.6,0.417,12.0,1
USER-000213,26-35,Buenos Aires,Mobile,Basic,15,4,91.93,70.0,13,36.7,15.9,0.289,4.0,0
USER-000214,36-45,Cordoba,Desktop,Basic,239,8,159.28,101.0,10,,8.2,0.69,1.0,0
USER-000215,26-35,La Plata,Desktop,Enterprise,140,8,157.21,154.0,30,83.7,10.1,0.142,1.71,0
USER-000216,55+,Buenos Aires,Desktop,Basic,162,36,393.17,83.0,12,34.4,15.9,0.292,6.67,0
USER-000217,18-25,Otros,Mobile,Premium,77,1,476.97,,30,85.3,9.3,0.233,0.39,0
USER-000218,18-25,La Plata,Desktop,Basic,11,8,320.33,61.0,8,,14.6,0.631,8.0,1
USER-000219,26-35,Rosario,Mobile,Basic,328,44,214.97,9.0,25,116.2,14.3,0.65,4.02,1
USER-000220,36-45,Buenos Aires,Desktop,Basic,61,22,91.51,156.0,1,68.0,13.3,0.517,10.82,0
USER-000221,55+,Cordoba,Mobile,Free,196,32,375.96,142.0,18,82.8,5.2,0.299,4.9,1
USER-000222,36-45,Rosario,Mobile,Free,128,1,246.56,75.0,13,110.5,2.6,0.665,0.23,0
USER-000223,26-35,Buenos Aires,Desktop,Basic,293,22,243.32,112.0,23,,,0.24,,1
USER-000224,18-25,La Plata,Desktop,Basic,2,10,465.66,62.0,16,21.8,4.0,0.448,10.0,1
USER-000225,18-25,,Mobile,Basic,129,27,203.84,157.0,28,24.5,12.3,0.311,,1
USER-000226,18-25,Buenos Aires,Desktop,Premium,5,36,,137.0,5,44.5,4.7,0.091,36.0,1
USER-000227,46-55,Cordoba,Desktop,Basic,22,39,202.35,,11,42.9,9.7,0.138,39.0,1
USER-000228,36-45,Buenos Aires,Desktop,Free,21,8,163.46,61.0,9,14.9,8.1,,8.0,0
USER-000229,26-35,Buenos Aires,Mobile,Free,167,40,273.32,165.0,29,120.0,11.5,0.392,7.19,0
USER-000230,18-25,La Plata,Desktop,Premium,294,0,,999.0,6,,19.3,0.404,0.0,1
USER-000231,26-35,Cordoba,Desktop,Basic,112,10,50.51,7.0,25,91.6,,0.22,2.68,1
USER-000232,26-35,Mendoza,Mobile,Premium,90,31,279.37,,18,14.6,15.7,0.659,10.33,0
USER-000233,26-35,Mendoza,Desktop,Basic,178,13,,26.0,23,99.8,15.3,0.238,2.19,0
USER-000234,26-35,Buenos Aires,Desktop,Basic,349,7,390.06,60.0,6,97.5,12.2,0.281,0.6,0
USER-000235,36-45,Cordoba,Desktop,Premium,2,13,404.67,145.0,11,64.3,,0.135,13.0,0
USER-000236,26-35,Rosario,,Basic,5,43,409.44,34.0,30,90.3,8.8,0.047,43.0,1
USER-000237,46-55,Buenos Aires,Desktop,Free,224,45,167.83,63.0,24,101.4,8.5,0.114,6.03,1
USER-000238,,Cordoba,Mobile,Basic,42,49,55.62,131.0,23,34.1,18.8,0.295,35.0,1
USER-000239,26-35,Buenos Aires,Desktop,Premium,116,46,486.35,162.0,21,84.0,17.2,,11.9,0
USER-000240,18-25,Cordoba,Mobile,Free,162,18,175.5,,4,68.4,10.2,0.275,3.33,1
USER-000241,36-45,Buenos Aires,Desktop,Premium,16,1,70.88,40.0,14,55.3,19.8,0.342,1.0,0
USER-000242,46-55,La Plata,Mobile,Premium,13,17,,92.0,8,10.8,13.6,0.519,,1
USER-000243,26-35,Buenos Aires,Desktop,Free,339,41,54.69,24.0,0,26.4,2.5,0.475,3.63,0
USER-000244,36-45,Buenos Aires,Desktop,Premium,100,27,350.08,122.0,2,28.2,,0.645,8.1,1
USER-000245,,La Plata,Mobile,Premium,313,48,438.5,164.0,21,18.0,11.1,0.007,4.6,1
USER-000246,18-25,Cordoba,Mobile,Premium,33,26,311.88,113.0,27,26.9,18.0,0.112,23.64,0
USER-000247,36-45,Cordoba,Tablet,Free,302,8,131.42,165.0,2,30.5,12.4,0.577,0.79,1
USER-000248,36-45,Rosario,Desktop,Basic,220,19,110.67,155.0,16,,8.4,0.517,2.59,1
USER-000249,26-35,Buenos Aires,Mobile,Basic,243,33,445.48,3.0,11,112.1,3.5,0.689,4.07,0
USER-000250,26-35,,Mobile,Basic,74,49,45.77,150.0,2,2.6,,0.738,19.86,0
USER-000251,26-35,Rosario,Mobile,Basic,162,44,207.12,163.0,17,65.0,3.9,0.067,,1
USER-000252,26-35,Buenos Aires,Desktop,Basic,325,25,297.35,166.0,21,77.5,6.9,0.35,,1
